,nb_inputs,cross_corr,legacy_cross_corr,cp_dot_computation_no_reshape,np_dot_computation_no_reshape,inputs_side_len,nb_kernels,kernels_side_len,depth,speed_up
298,1,0.0012414730003911245,0.0006609870001739182,0.001032812000175909,0.00020142899984421092,32,32,7,1,0.5324215669335338
40,1,0.0012134660000810982,0.0006603109995921841,0.0006525690000671602,0.00010492100000192295,32,7,3,1,0.5441528642319227
270,1,0.0009774479999578034,0.0005389080001805269,0.0008258860002570145,0.00012031899996145512,32,30,3,1,0.5513418618727458
280,1,0.0009843150000961032,0.0005443069999273575,0.0008475220001855632,9.707300023364951e-05,32,31,3,1,0.5529804990010457
290,1,0.0010234199999104021,0.0005712689999199938,0.0008470990001114842,0.00012094500016246457,32,32,3,1,0.5581960485138134
30,1,0.0012910129998999764,0.0007324510002035822,0.0006354160000228148,0.00011311799971736036,32,6,3,1,0.5673459525661866
292,1,0.000997342000118806,0.0005685729997821909,0.0007993230001375196,0.0001440129999537021,32,32,4,1,0.5700882944009787
272,1,0.0009925549998115457,0.0005661099999088037,0.000776754000071378,0.00014759800023966818,32,30,4,1,0.5703563026898155
282,1,0.0009731019999890123,0.0005649839999932738,0.000797328999851743,0.00015095600019776612,32,31,4,1,0.580601005855145
36,1,0.0015777789999447123,0.0009228179997080588,0.0007910310000625032,0.00012176299969723914,32,6,6,1,0.5848841946434803
20,1,0.0011218549998375238,0.0006596779999199498,0.000620517000243126,0.00011343799997121096,32,5,3,1,0.5880242990542358
222,1,0.001315489999797137,0.0007816500001354143,0.000813248000213207,0.00016449399981866009,32,25,4,1,0.5941892376650171
50,1,0.0012551380000331847,0.0007669409997106413,0.0007009239998296835,0.00011177900023540133,32,8,3,1,0.6110411761020415
274,1,0.0009582759998920665,0.0005938630001764977,0.0008849989999362151,0.0001629889998184808,32,30,5,1,0.6197202061236913
48,1,0.0009714679999888176,0.0006027190001987037,0.0008959510000750015,0.00016055500009315438,32,7,7,1,0.6204208478361012
0,1,0.0013837649999004498,0.000864718999764591,0.0005989719998069631,0.00012853599992013187,32,3,3,1,0.624903072289587
210,1,0.0011014260003321397,0.0006992580001679016,0.000841358999878139,0.00011467099966466776,32,24,3,1,0.6348660735782862
170,1,0.0011229200003981532,0.0007174409997787734,0.0008183830000234593,0.00012577699999383185,32,20,3,1,0.6389066002247629
250,1,0.0011419819998081948,0.0007310119999601739,0.0008603020000919059,0.00013202500031184172,32,28,3,1,0.6401256763092179
52,1,0.001258239999970101,0.0008124999999381544,0.0007024629999250465,0.00012015200036330498,32,8,4,1,0.6457432603934554
230,1,0.0011323759999868344,0.0007342450003307022,0.0008688940001775336,0.00016017500001908047,32,26,3,1,0.6484109521388999
120,1,0.001039643999774853,0.0006757730002391327,0.0007139660001485026,0.0001141409998126619,32,15,3,1,0.6500042325887315
110,1,0.0010561389999566018,0.0006890750000820844,0.0006860110001980502,9.232399997927132e-05,32,14,3,1,0.6524472632015289
60,1,0.0011493890001474938,0.0007515050001529744,0.0005748009998569614,0.0011829449999822828,32,9,3,1,0.6538299914620189
240,1,0.001116449000164721,0.0007312269999601995,0.0008868049999364302,0.00015723800015621237,32,27,3,1,0.654957817018345
160,1,0.001107053000396263,0.0007287779999387567,0.000747665999824676,0.00012665599979300168,32,19,3,1,0.6583045253279607
150,1,0.0010768319998533116,0.0007091229999787174,0.0007214479996946466,0.00012183599983472959,32,18,3,1,0.6585270497861465
190,1,0.0011165989999426529,0.0007354330000453047,0.0007869930000197201,0.0001258510001207469,32,22,3,1,0.6586366279058781
42,1,0.0012403349996930046,0.0008183969998754037,0.0006718639997416176,0.00012348500013104058,32,7,4,1,0.6598193230683366
284,1,0.0009681100000307197,0.0006388370002241572,0.0008900889997676131,0.00016643699973428738,32,31,5,1,0.6598805922920804
220,1,0.0011073610003222711,0.0007327609996536921,0.0008229530003518448,0.00014182399991113925,32,25,3,1,0.6617182648119624
276,1,0.00094048200026009,0.0006257350000851147,0.000888044000021182,0.00018140499969376833,32,30,6,1,0.6653343710055779
296,1,0.0009757010002431343,0.0006493529999715975,0.0009306060001108563,0.00018122699975720025,32,32,6,1,0.6655245816185343
100,1,0.0010289940000802744,0.0006862079999336856,0.0007016710001153115,0.00011564399983399198,32,13,3,1,0.6668726930187667
294,1,0.001001222000013513,0.0006701409997731389,0.0008920130003389204,0.00016450500015707803,32,32,5,1,0.6693230869518392
80,1,0.001019913999698474,0.0006829540002399881,0.0006535709999297978,0.00011499299989736755,32,11,3,1,0.6696192036209873
260,1,0.0011454460000095423,0.0007693769998695643,0.0008796940001047915,0.00014606200011257897,32,29,3,1,0.6716833441848458
